Key	en	de	ja	pl	es	fr	zh-Hans	it	ko	pt	ru	uk	ca	zh	cs	da	nl	et	fi	el	hu	no	pt-BR	ro	sk	es-419	sv	tr
RecipeDef&KokuInstallAdvancedBionicEMPArm.description	Installs advanced bionic EMP arm.	Installiert einen fortschrittlichen bionischen EMP-Arm.	先進のバイオニックEMPアームを搭載。	Instaluje zaawansowane bioniczne ramię EMP.	Instala un brazo EMP biónico avanzado.	Installe un bras EMP bionique avancé.	安装先进的仿生电磁脉冲臂。	Installa il braccio EMP bionico avanzato.	고급 생체공학 EMP 팔을 설치합니다.	Instala braço EMP biônico avançado.	Устанавливает усовершенствованную бионическую руку с ЭМИ.	Встановлює передову біонічну руку EMP.	Instal·la un braç EMP biònic avançat.	安装先进的仿生电磁脉冲臂。	Instaluje pokročilé bionické EMP rameno.	Installerer avanceret bionisk EMP-arm.	Installeert geavanceerde bionische EMP-arm.	Paigaldab täiustatud bioonilise EMP käe.	Asenna edistyneen bionisen EMP-varren.	Εγκαθιστά προηγμένο βιονικό βραχίονα EMP.	Fejlett bionikus EMP kart telepít.	Installerer avansert bionisk EMP-arm.	Instala braço EMP biônico avançado.	Instalează braț EMP bionic avansat.	Inštaluje pokročilé bionické EMP rameno.	Instala un brazo EMP biónico avanzado.	Installerar avancerad bionisk EMP-arm.	Gelişmiş biyonik EMP kolunu kurar.
RecipeDef&KokuInstallAdvancedBionicEMPArm.jobString	Installing advanced bionic EMP arm.	Installation eines fortschrittlichen bionischen EMP-Arms.	先進的なバイオニックEMPアームを搭載。	Instalowanie zaawansowanego bionicznego ramienia EMP.	Instalación de brazo EMP biónico avanzado.	Installation d'un bras EMP bionique avancé.	安装先进的仿生电磁脉冲臂。	Installazione del braccio EMP bionico avanzato.	고급 생체공학 EMP 팔 설치.	Instalando braço EMP biônico avançado.	Установка усовершенствованной бионической ЭМИ-манипулятора.	Встановлення вдосконаленого біонічного плеча EMP.	Instal·lació del braç EMP biònic avançat.	安装先进的仿生电磁脉冲臂。	Instalace pokročilého bionického EMP ramena.	Installation af avanceret bionisk EMP-arm.	Geavanceerde bionische EMP-arm installeren.	Täiustatud bioonilise EMP käe paigaldamine.	Edistyneen bionisen EMP-varren asennus.	Εγκατάσταση προηγμένου βιονικού βραχίονα EMP.	Fejlett bionikus EMP kar telepítése.	Installerer avansert bionisk EMP-arm.	Instalando braço EMP biônico avançado.	Instalarea brațului EMP bionic avansat.	Inštalácia pokročilého bionického EMP ramena.	Instalación de brazo EMP biónico avanzado.	Installerar avancerad bionisk EMP-arm.	Gelişmiş biyonik EMP kolunun takılması.
RecipeDef&KokuInstallAdvancedBionicIncendiaryArm.label	install advanced bionic incendiary arm	Installieren Sie einen fortschrittlichen bionischen Brandarm	先進的なバイオニック焼夷アームを設置する	zainstaluj zaawansowane bioniczne ramię zapalające	instalar un brazo incendiario biónico avanzado	installer un bras incendiaire bionique avancé	安装先进的仿生燃烧臂	installare un braccio incendiario bionico avanzato	고급 생체 공학 방화 팔 설치	instalar braço incendiário biônico avançado	установить усовершенствованную бионическую зажигательную руку	встановити передову біонічну запалювальну зброю	instal·leu un braç incendiari biònic avançat	安装先进的仿生燃烧臂	nainstalujte pokročilé bionické zápalné rameno	installer avanceret bionisk brandarm	installeer een geavanceerde bionische brandgevaarlijke arm	paigaldage täiustatud biooniline süüteõlg	asenna kehittynyt bioninen sytytysvarsi	εγκαταστήστε προηγμένο βιονικό εμπρηστικό βραχίονα	telepítse a fejlett bionikus gyújtókart	installer avansert bionisk brann-arm	instalar braço incendiário biônico avançado	instalați braț incendiar bionic avansat	nainštalujte pokročilé bionické zápalné rameno	instalar un brazo incendiario biónico avanzado	installera avancerad bionisk brandarm	gelişmiş biyonik yangın çıkarıcı kolu takın
RecipeDef&KokuInstallAdvancedBionicIncendiaryArm.description	Installs advanced bionic incendiary arm.	Installiert einen fortschrittlichen bionischen Brandarm.	先進的なバイオニック焼夷アームを搭載。	Instaluje zaawansowane bioniczne ramię zapalające.	Instala un brazo incendiario biónico avanzado.	Installe un bras incendiaire bionique avancé.	安装先进的仿生燃烧臂。	Installa un braccio incendiario bionico avanzato.	첨단 생체 공학 방화 팔을 설치합니다.	Instala braço incendiário biônico avançado.	Устанавливает усовершенствованную бионическую зажигательную руку.	Встановлює вдосконалену біонічну запалювальну зброю.	Instal·la un braç incendiari biònic avançat.	安装先进的仿生燃烧臂。	Instaluje pokročilé bionické zápalné rameno.	Installerer avanceret bionisk brandarm.	Installeert geavanceerde bionische brandgevaarlijke arm.	Paigaldab täiustatud bioonilise süüteõla.	Asenna kehittyneen bionisen sytytysvarren.	Εγκαθιστά προηγμένο βιονικό εμπρηστικό βραχίονα.	Fejlett bionikus gyújtókart telepít.	Installerer avansert bionisk tennarm.	Instala braço incendiário biônico avançado.	Instalează braț incendiar bionic avansat.	Inštaluje pokročilé bionické zápalné rameno.	Instala un brazo incendiario biónico avanzado.	Installerar avancerad bionisk brandarm.	Gelişmiş biyonik yangın çıkarıcı kolu kurar.
RecipeDef&KokuInstallAdvancedBionicIncendiaryArm.jobString	Installing advanced bionic incendiary arm.	Installation eines fortschrittlichen bionischen Brandarms.	先進的なバイオニック焼夷アームの設置。	Instalowanie zaawansowanego bionicznego ramienia zapalającego.	Instalación de brazo incendiario biónico avanzado.	Installation d'un bras incendiaire bionique avancé.	安装先进的仿生燃烧臂。	Installazione di un braccio incendiario bionico avanzato.	첨단 생체 공학 소이 팔을 설치합니다.	Instalando braço incendiário biônico avançado.	Установка усовершенствованной бионической зажигательной руки.	Встановлення вдосконаленої біонічної запальної зброї.	Instal·lació d'un braç incendiari biònic avançat.	安装先进的仿生燃烧臂。	Instalace pokročilého bionického zápalného ramene.	Installation af avanceret bionisk brandarm.	Geavanceerde bionische brandgevaarlijke arm installeren.	Täiustatud bioonilise süüteõla paigaldamine.	Edistyneen bionisen sytytysvarren asennus.	Εγκατάσταση προηγμένου βιονικού εμπρηστικού βραχίονα.	Fejlett bionikus gyújtókar felszerelése.	Installerer avansert bionisk brannarm.	Instalando braço incendiário biônico avançado.	Instalarea brațului incendiar bionic avansat.	Inštalácia pokročilého bionického zápalného ramena.	Instalación de brazo incendiario biónico avanzado.	Installerar avancerad bionisk brandarm.	Gelişmiş biyonik yangın çıkarıcı kolun takılması.
RecipeDef&KokuInstallAdvancedBionicSmokeArm.label	install advanced bionic smoke arm	Installieren Sie einen fortschrittlichen bionischen Raucharm	高度なバイオニックスモークアームを設置する	zainstaluj zaawansowane bioniczne ramię dymne	instalar brazo de humo biónico avanzado	installer un bras anti-fumée bionique avancé	安装先进的仿生烟臂	installare il braccio fumogeno bionico avanzato	고급 생체공학 연기 팔 설치	instalar braço de fumaça biônico avançado	установить усовершенствованную бионическую дымовую руку	встановити передову біонічну димову руку	instal·leu un braç de fum biònic avançat	安装先进的仿生烟臂	nainstalujte pokročilé rameno bionického kouře	installer avanceret bionisk røgarm	installeer een geavanceerde bionische rookarm	paigaldage täiustatud biooniline suitsuhoob	asenna kehittynyt bioninen savuvarsi	εγκαταστήστε προηγμένο βιονικό βραχίονα καπνού	telepítse a fejlett bionikus füstkart	installer avansert bionisk røykarm	instalar braço de fumaça biônico avançado	instalați un braț de fum bionic avansat	nainštalujte pokročilé rameno bionického dymu	instalar brazo de humo biónico avanzado	installera avancerad bionisk rökarm	gelişmiş biyonik duman kolunu takın
RecipeDef&KokuInstallAdvancedBionicSmokeArm.description	Installs advanced bionic smoke arm.	Installiert einen fortschrittlichen bionischen Raucharm.	先進のバイオニックスモークアームを搭載。	Instaluje zaawansowane bioniczne ramię dymne.	Instala un brazo de humo biónico avanzado.	Installe un bras anti-fumée bionique avancé.	安装先进的仿生烟臂。	Installa un braccio fumogeno bionico avanzato.	고급 생체공학 연기 팔을 설치합니다.	Instala braço de fumaça biônico avançado.	Устанавливает усовершенствованную бионическую дымовую руку.	Встановлює вдосконалену біонічну димову руку.	Instal·la un braç de fum biònic avançat.	安装先进的仿生烟臂。	Instaluje pokročilé rameno bionického kouře.	Installerer avanceret bionisk røgarm.	Installeert geavanceerde bionische rookarm.	Paigaldab täiustatud bioonilise suitsuhoova.	Asenna kehittyneen bionisen savuvarren.	Εγκαθιστά προηγμένο βιονικό βραχίονα καπνού.	Felszereli a fejlett bionikus füstkart.	Installerer avansert bionisk røykarm.	Instala braço de fumaça biônico avançado.	Instalează un braț de fum bionic avansat.	Inštaluje pokročilé rameno bionického dymu.	Instala un brazo de humo biónico avanzado.	Installerar avancerad bionisk rökarm.	Gelişmiş biyonik duman kolunu kurar.
RecipeDef&KokuInstallAdvancedBionicSmokeArm.jobString	Installing advanced bionic smoke arm.	Installation eines fortschrittlichen bionischen Raucharms.	先進的なバイオニックスモークアームを搭載。	Instalowanie zaawansowanego bionicznego ramienia dymnego.	Instalación de brazo de humo biónico avanzado.	Installation d'un bras anti-fumée bionique avancé.	安装先进的仿生烟臂。	Installazione del braccio fumogeno bionico avanzato.	고급 생체공학 연기 팔 설치.	Instalando braço de fumaça biônico avançado.	Установка усовершенствованной бионической дымовой руки.	Встановлення вдосконаленої біонічної димової руки.	Instal·lació del braç de fum biònic avançat.	安装先进的仿生烟臂。	Instalace pokročilého ramena pro bionický kouř.	Installation af avanceret bionisk røgarm.	Geavanceerde bionische rookarm installeren.	Täiustatud bioonilise suitsuhoova paigaldamine.	Edistyneen bionisen savuvarren asennus.	Εγκατάσταση προηγμένου βιονικού βραχίονα καπνού.	Fejlett bionikus füstkar felszerelése.	Installerer avansert bionisk røykarm.	Instalando braço de fumaça biônico avançado.	Instalarea brațului de fum bionic avansat.	Inštalácia pokročilého ramena bionického dymu.	Instalación de brazo de humo biónico avanzado.	Installation av avancerad bionisk rökarm.	Gelişmiş biyonik duman kolunun takılması.
RecipeDef&KokuInstallAdvancedBionicFireBreathJaw.label	install advanced bionic fire breath jaw	Installieren Sie einen fortschrittlichen bionischen Feueratem-Kiefer	高度なバイオニックファイアブレスジョーをインストールする	zainstaluj zaawansowaną bioniczną szczękę z ognistym oddechem	instalar la mandíbula biónica avanzada de aliento de fuego	installer une mâchoire de souffle de feu bionique avancée	安装先进的仿生火息颚	installare la mascella bionica avanzata del soffio di fuoco	고급 생체 공학 화재 호흡 턱 설치	instalar mandíbula de sopro de fogo biônico avançado	установить усовершенствованную бионическую челюсть с огненным дыханием	встановити передову біонічну щелепу дихання вогню	instal·leu la mandíbula d'alè de foc biònic avançat	安装先进的仿生火息颚	nainstalovat pokročilou čelist bionického ohně	installer avanceret bionisk ildåndekæbe	installeer een geavanceerde bionische vuurademkaak	paigaldage täiustatud biooniline tulehingamislõug	asenna edistynyt bioninen tulihengitysleuka	εγκαταστήστε προηγμένη βιονική σιαγόνα αναπνοής φωτιάς	telepítse a fejlett bionikus tűzlégzéspofát	installer avansert bionisk brannpustekjeve	instalar mandíbula de sopro de fogo biônico avançado	instalați maxilare avansată de respirație de foc bionic	nainštalujte pokročilú čeľusť bionického ohňa	instalar la mandíbula biónica avanzada de aliento de fuego	installera avancerad bionisk eldandningskäft	gelişmiş biyonik yangın nefesi çenesini takın
RecipeDef&KokuInstallAdvancedBionicFireBreathJaw.description	Installs advanced bionic fire breath jaw.	Installiert einen fortschrittlichen bionischen Feueratem-Kiefer.	先進的なバイオニックファイアブレスジョーを搭載。	Instaluje zaawansowaną bioniczną szczękę z ognistym oddechem.	Instala una avanzada mandíbula biónica de aliento de fuego.	Installe une mâchoire de souffle de feu bionique avancée.	安装先进的仿生火息颚。	Installa la mascella bionica avanzata del soffio di fuoco.	고급 생체 공학 화재 호흡 턱을 설치합니다.	Instala mandíbula de sopro de fogo biônico avançado.	Устанавливает усовершенствованную бионическую челюсть огненного дыхания.	Встановлює передову біонічну щелепу дихання вогню.	Instal·la una mandíbula d'alè de foc biònic avançat.	安装先进的仿生火息颚。	Instaluje pokročilou čelist bionického ohně.	Installerer avanceret bionisk ildåndekæbe.	Installeert geavanceerde bionische vuurademkaak.	Paigaldab täiustatud bioonilise tulehingamislõua.	Asenna edistyneen bionisen tulihengitysleuan.	Εγκαθιστά προηγμένη βιονική σιαγόνα αναπνοής φωτιάς.	Felszereli a fejlett bionikus tűzlégzéspofát.	Installerer avansert bionisk brannpustekjeve.	Instala mandíbula de sopro de fogo biônico avançado.	Instalează maxilarul avansat de respirație de foc bionic.	Inštaluje pokročilú čeľusť bionického ohňa.	Instala una avanzada mandíbula biónica de aliento de fuego.	Installerar avancerad bionisk eldandningskäft.	Gelişmiş biyonik yangın nefesi çenesini kurar.
RecipeDef&KokuInstallAdvancedBionicFireBreathJaw.jobString	Installing advanced bionic fire breath jaw.	Installation eines fortschrittlichen bionischen Feueratem-Kiefers.	先進的なバイオニックファイアブレスジョーを搭載。	Instalowanie zaawansowanej bionicznej szczęki z ognistym oddechem.	Instalación de mandíbula biónica avanzada de aliento de fuego.	Installation d'une mâchoire de souffle de feu bionique avancée.	安装先进的仿生火息颚。	Installazione della mascella bionica avanzata del soffio di fuoco.	고급 생체 공학 화재 호흡 턱 설치.	Instalando mandíbula de sopro de fogo biônico avançado.	Установка усовершенствованной бионической челюсти с огненным дыханием.	Встановлення вдосконаленої біонічної щелепи дихання вогню.	Instal·lació d'una mandíbula d'alè de foc biònic avançat.	安装先进的仿生火息颚。	Instalace pokročilé čelisti bionického ohně.	Installation af avanceret bionisk ildåndekæbe.	Geavanceerde bionische vuurademkaak installeren.	Täiustatud bioonilise tulehingamislõua paigaldamine.	Edistyneen bionisen tulihengitysleuan asennus.	Εγκατάσταση προηγμένης βιονικής σιαγόνας αναπνοής φωτιάς.	Fejlett bionikus tűzlégzés beszerelése.	Installerer avansert bionisk brannpustekjeve.	Instalando mandíbula de sopro de fogo biônico avançado.	Instalarea maxilarului avansat de respirație de foc bionic.	Inštalácia pokročilej čeľuste na dýchanie bionického ohňa.	Instalación de mandíbula biónica avanzada de aliento de fuego.	Installation av avancerad bionisk eldandningskäft.	Gelişmiş biyonik yangın nefesi çenesinin takılması.
RecipeDef&KokuInstallUltraBionicClaw.label	install ultra bionic claw	Installiere die ultrabionische Klaue	ウルトラバイオニッククローを取り付ける	zainstaluj ultra bioniczny pazur	instalar garra ultra biónica	installer une griffe ultra bionique	安装超仿生爪	installare l'artiglio ultra bionico	울트라 바이오닉 클로를 설치하다	instalar garra ultra biônica	установить ультра бионический коготь	встановити ультрабіонічний кіготь	instal·leu una arpa ultra biònica	安装超仿生爪	nainstalujte ultra bionický dráp	installer ultra bionisk klo	installeer ultrabionische klauw	paigaldage ultra biooniline küünis	asenna ultrabionic claw	εγκαταστήστε το εξαιρετικά βιονικό νύχι	telepítse az ultra bionikus karmot	installer ultra bionisk klo	instalar garra ultra biônica	instalați gheara ultra bionică	nainštalujte ultra bionický pazúr	instalar garra ultra biónica	installera ultra bionisk klo	ultra biyonik pençeyi takın
RecipeDef&KokuInstallUltraBionicClaw.description	Installs ultra bionic claw.	Installiert eine ultrabionische Klaue.	ウルトラバイオニッククローを装着。	Instaluje ultra bioniczny pazur.	Instala garra ultra biónica.	Installe une griffe ultra bionique.	安装超仿生爪。	Installa artiglio ultra bionico.	울트라 바이오닉 클로를 설치합니다.	Instala garra ultra biônica.	Устанавливает ультра бионический коготь.	Встановлює ультрабіонічний кіготь.	Instal·la una urpa ultra biònica.	安装超仿生爪。	Instaluje ultra bionický dráp.	Installerer ultra bionisk klo.	Installeert ultra bionische klauw.	Paigaldab ultrabioonilise küünise.	Asenna ultrabionic claw.	Εγκαθιστά εξαιρετικά βιονικό νύχι.	Ultra bionikus karmot telepít.	Installerer ultra bionisk klo.	Instala garra ultra biônica.	Instalează gheara ultra bionică.	Inštaluje ultra bionický pazúr.	Instala garra ultra biónica.	Installerar ultra bionisk klo.	Ultra biyonik pençeyi kurar.
RecipeDef&KokuInstallUltraBionicClaw.jobString	Installing ultra bionic claw.	Installation einer ultrabionischen Klaue.	ウルトラバイオニッククローの取り付け。	Instalowanie ultra bionicznego pazura.	Instalación de garra ultra biónica.	Installation d'une griffe ultra bionique.	安装超仿生爪。	Installazione dell'artiglio ultra bionico.	울트라 바이오닉 클로를 설치합니다.	Instalando garra ultra biônica.	Установка ультра бионического когтя.	Установка ультрабіонічної когтеточки.	Instal·lació d'urpa ultra biònica.	安装超仿生爪。	Instalace ultra bionického drápu.	Installation af ultra bionisk klo.	Ultrabionische klauw installeren.	Ultra bioonilise küünise paigaldamine.	Ultra bionic claw asennus.	Εγκατάσταση υπερβιονικού νυχιού.	Ultra bionikus karom felszerelése.	Installere ultra bionisk klo.	Instalando garra ultra biônica.	Instalarea ghearei ultra bionice.	Inštalácia ultra bionického pazúra.	Instalación de garra ultra biónica.	Installera ultra bionisk klo.	Ultra biyonik pençenin takılması.
RecipeDef&KokuInstallUltraBionicGunArm.label	install ultra bionic gun arm	Installieren Sie den ultrabionischen Waffenarm	ウルトラバイオニックガンアームを取り付ける	zainstaluj ultrabioniczne ramię pistoletu	instalar el brazo de pistola ultra biónica	installer un bras de pistolet ultra bionique	安装超仿生枪臂	installare il braccio della pistola ultra bionico	울트라 바이오닉 건 암 설치	instale o braço da arma ultra biônica	установить ультрабионическую руку-пистолет	встановити ультрабіонічну зброю	instal·leu el braç de la pistola ultra biònica	安装超仿生枪臂	nainstalujte rameno ultra bionické zbraně	installer ultra bionisk pistolarm	installeer een ultrabionische pistoolarm	paigaldage ultrabiooniline relvavars	asenna ultrabionic aseen varsi	εγκαταστήστε βραχίονα υπερβιονικού όπλου	telepítse az ultra bionikus pisztolykart	installer ultra bionisk pistolarm	instale o braço da arma ultra biônica	instalați brațul pistolului ultra bionic	nainštalujte rameno ultra bionickej pištole	instalar el brazo de pistola ultra biónica	installera ultrabionic pistolarm	ultra biyonik silah kolunu takın
RecipeDef&KokuInstallUltraBionicGunArm.description	Installs ultra bionic gun arm.	Installiert einen ultrabionischen Waffenarm.	ウルトラバイオニックガンアームを取り付けます。	Instaluje ramię pistoletu ultrabionicznego.	Instala un brazo de pistola ultrabiónico.	Installe un bras de pistolet ultra bionique.	安装超仿生枪臂。	Installa il braccio della pistola ultra bionico.	울트라 바이오닉 건 암을 설치합니다.	Instala o braço da arma ultra biônica.	Устанавливает ультрабионическую руку-пушку.	Встановлює ультрабіонічну зброю.	Instal·la un braç de pistola ultra biònic.	安装超仿生枪臂。	Instaluje rameno ultra bionické zbraně.	Installerer ultra bionisk pistolarm.	Installeert ultrabionische pistoolarm.	Paigaldab ultrabioonilise relva varre.	Asenna ultrabionic-aseen varren.	Εγκαθιστά βραχίονα υπερβιονικού όπλου.	Ultra bionikus pisztolykart telepít.	Installerer ultra bionisk pistolarm.	Instala o braço da arma ultra biônica.	Instalează brațul pistolului ultra bionic.	Inštaluje ultra bionické rameno pištole.	Instala un brazo de pistola ultrabiónico.	Installerar ultrabionic pistolarm.	Ultra biyonik tabanca kolunu takar.
RecipeDef&KokuInstallUltraBionicGunArm.jobString	Installing ultra bionic gun arm.	Installation des ultrabionischen Pistolenarms.	ウルトラバイオニックガンアームの取り付け。	Instalowanie ultrabionicznego ramienia pistoletu.	Instalación del brazo de pistola ultra biónica.	Installation d'un bras de pistolet ultra bionique.	安装超仿生枪臂。	Installazione del braccio della pistola ultra bionico.	울트라 바이오닉 건 암 설치.	Instalando o braço da arma ultra biônica.	Установка ультрабионической руки-пистолета.	Встановлення ультрабіонічної зброї.	Instal·lació del braç de la pistola ultra biònica.	安装超仿生枪臂。	Instalace ramene ultra bionické zbraně.	Installation af ultra bionisk pistolarm.	Ultrabionische wapenarm installeren.	Ultra bioonilise püstoli käe paigaldamine.	Ultrabionic aseen varren asennus.	Εγκατάσταση βραχίονα υπερβιονικού όπλου.	Ultra bionikus pisztolykar felszerelése.	Installerer ultrabionic pistolarm.	Instalando o braço da arma ultra biônica.	Instalarea brațului pistolului ultra bionic.	Inštalácia ramena ultra bionickej pištole.	Instalación del brazo de pistola ultra biónica.	Installation av ultrabionic pistolarm.	Ultra biyonik tabanca kolunun takılması.
RecipeDef&KokuInstallUltraBionicEMPArm.label	install ultra bionic EMP arm	Installieren Sie den ultrabionischen EMP-Arm	ウルトラバイオニックEMPアームを取り付ける	zainstaluj ultra bioniczne ramię EMP	instalar el brazo EMP ultra biónico	installer un bras EMP ultra bionique	安装超仿生电磁脉冲臂	installare il braccio EMP ultra bionico	울트라 바이오닉 EMP 암 설치	instalar braço EMP ultra biônico	установить ультрабионическую ЭМИ-манипулятор	встановити ультрабіонічну руку EMP	instal·leu un braç EMP ultra biònic	安装超仿生电磁脉冲臂	nainstalujte ultra bionické EMP rameno	installer ultra bionisk EMP-arm	installeer ultrabionische EMP-arm	paigaldage ultrabionic EMP vars	asenna ultrabionic EMP-varsi	εγκαταστήστε βραχίονα ultra bionic EMP	telepítse az ultra bionikus EMP kart	installer ultra bionisk EMP-arm	instalar braço EMP ultra biônico	instalați brațul EMP ultra bionic	nainštalujte ultra bionické EMP rameno	instalar el brazo EMP ultra biónico	installera ultrabionic EMP-arm	ultra biyonik EMP kolunu takın
RecipeDef&KokuInstallUltraBionicEMPArm.description	Installs ultra bionic EMP arm.	Installiert einen ultrabionischen EMP-Arm.	ウルトラバイオニックEMPアームを搭載。	Instaluje ultra bioniczne ramię EMP.	Instala un brazo EMP ultrabiónico.	Installe le bras EMP ultra bionique.	安装超仿生电磁脉冲臂。	Installa il braccio EMP ultra bionico.	울트라 바이오닉 EMP 팔을 설치합니다.	Instala braço EMP ultra biônico.	Устанавливает ультрабионическую руку с ЭМИ.	Встановлює ультрабіонічну руку EMP.	Instal·la un braç EMP ultra biònic.	安装超仿生电磁脉冲臂。	Instaluje ultra bionické EMP rameno.	Installerer ultra bionisk EMP-arm.	Installeert ultra bionische EMP-arm.	Paigaldab ultrabioonilise EMP käe.	Asenna ultrabionic EMP-varren.	Εγκαθιστά υπερβιονικό βραχίονα EMP.	Ultra bionikus EMP kart telepít.	Installerer ultra bionisk EMP-arm.	Instala braço EMP ultra biônico.	Instalează brațul EMP ultra bionic.	Inštaluje ultra bionické EMP rameno.	Instala un brazo EMP ultrabiónico.	Installerar ultrabionic EMP-arm.	Ultra biyonik EMP kolunu kurar.
RecipeDef&KokuInstallUltraBionicEMPArm.jobString	Installing ultra bionic EMP arm.	Installation des ultrabionischen EMP-Arms.	ウルトラバイオニックEMPアームの取り付け。	Instalowanie ultrabionicznego ramienia EMP.	Instalación del brazo EMP ultrabiónico.	Installation du bras EMP ultra bionique.	安装超仿生电磁脉冲臂。	Installazione del braccio EMP ultra bionico.	울트라 바이오닉 EMP 팔 설치.	Instalando braço EMP ultra biônico.	Установка ультрабионической ЭМИ-манипулятора.	Встановлення ультрабіонічної ЕМІ-руки.	Instal·lació del braç EMP ultra biònic.	安装超仿生电磁脉冲臂。	Instalace ultra bionického EMP ramena.	Installation af ultra bionisk EMP-arm.	Ultrabionische EMP-arm installeren.	Ultra bioonilise EMP käe paigaldamine.	Ultrabionic EMP-varren asennus.	Εγκατάσταση βραχίονα υπερβιονικού EMP.	Ultra bionikus EMP kar felszerelése.	Installerer ultra bionisk EMP-arm.	Instalando braço EMP ultra biônico.	Instalarea brațului EMP ultra bionic.	Inštalácia ultra bionického EMP ramena.	Instalación del brazo EMP ultrabiónico.	Installation av ultrabionic EMP-arm.	Ultra biyonik EMP kolunun takılması.
RecipeDef&KokuInstallUltraBionicIncendiaryArm.label	install ultra bionic incendiary arm	Installieren Sie einen ultrabionischen Brandarm	ウルトラバイオニック焼夷アームを設置する	zainstaluj ultrabioniczne ramię zapalające	instalar brazo incendiario ultrabiónico	installer un bras incendiaire ultra bionique	安装超仿生燃烧臂	installare un braccio incendiario ultra bionico	울트라 바이오닉 방화 팔 설치	instalar braço incendiário ultra biônico	установить ультрабионическую зажигательную руку	встановити ультрабіонічну запалювальну зброю	instal·lar un braç incendiari ultra biònic	安装超仿生燃烧臂	nainstalujte ultra bionické zápalné rameno	installer ultra bionisk brandarm	installeer een ultrabionische brandgevaarlijke arm	paigaldage ultrabiooniline süütevars	asenna ultrabionic sytytysvarsi	εγκαταστήστε υπερβιονικό εμπρηστικό βραχίονα	telepítse az ultra bionikus gyújtókart	installer ultra bionisk brannfarlig arm	instalar braço incendiário ultra biônico	instalați braț incendiar ultra bionic	nainštalujte ultra bionické zápalné rameno	instalar brazo incendiario ultrabiónico	installera ultra bionisk brandarm	ultra biyonik yangın çıkarıcı kolu takın
RecipeDef&KokuInstallUltraBionicIncendiaryArm.description	Installs ultra bionic incendiary arm.	Installiert einen ultrabionischen Brandarm.	超バイオニック焼夷アームを設置します。	Instaluje ultrabioniczne ramię zapalające.	Instala un brazo incendiario ultrabiónico.	Installe un bras incendiaire ultra bionique.	安装超仿生燃烧臂。	Installa un braccio incendiario ultra bionico.	울트라 바이오닉 방화 팔을 설치합니다.	Instala braço incendiário ultra biônico.	Устанавливает ультрабионическую зажигательную руку.	Встановлює ультрабіонічну запалювальну зброю.	Instal·la un braç incendiari ultra biònic.	安装超仿生燃烧臂。	Instaluje ultra bionické zápalné rameno.	Installerer ultra bionisk brandarm.	Installeert een ultrabionische brandgevaarlijke arm.	Paigaldab ultrabioonilise süütehoova.	Asenna ultrabionic-sytytysvarsi.	Εγκαθιστά υπερβιονικό εμπρηστικό βραχίονα.	Ultra bionikus gyújtókart telepít.	Installerer ultra bionisk brannfarlig arm.	Instala braço incendiário ultra biônico.	Instalează braț incendiar ultra bionic.	Inštaluje ultra bionické zápalné rameno.	Instala un brazo incendiario ultrabiónico.	Installerar ultra bionisk brandarm.	Ultra biyonik yangın çıkarıcı kolu kurar.
RecipeDef&KokuInstallUltraBionicIncendiaryArm.jobString	Installing ultra bionic incendiary arm.	Installation eines ultrabionischen Brandarms.	超バイオニック焼夷アームの設置。	Instalowanie ultrabionicznego ramienia zapalającego.	Instalación de brazo incendiario ultrabiónico.	Installation d'un bras incendiaire ultra bionique.	安装超仿生燃烧臂。	Installazione del braccio incendiario ultra bionico.	울트라 바이오닉 소이 팔을 설치합니다.	Instalando braço incendiário ultra biônico.	Установка ультрабионической зажигательной руки.	Встановлення ультрабіонічної запальної зброї.	Instal·lació de braç incendiari ultra biònic.	安装超仿生燃烧臂。	Instalace ultra bionického zápalného ramene.	Installation af ultra bionisk brandarm.	Ultrabionische brandgevaarlijke arm installeren.	Ultra bioonilise süüteõla paigaldamine.	Ultrabionic-sytytysvarren asennus.	Εγκατάσταση υπερβιονικού εμπρηστικού βραχίονα.	Ultra bionikus gyújtókar felszerelése.	Installerer ultrabionisk tennarm.	Instalando braço incendiário ultra biônico.	Instalarea brațului incendiar ultra bionic.	Inštalácia ultra bionického zápalného ramena.	Instalación de brazo incendiario ultrabiónico.	Installation av ultrabionisk brandarm.	Ultra biyonik yangın çıkarıcı kolun takılması.
RecipeDef&KokuInstallUltraBionicSmokeArm.label	install ultra bionic smoke arm	Installieren Sie einen ultrabionischen Raucharm	ウルトラバイオニックスモークアームを取り付ける	zainstaluj ultra bioniczne ramię dymne	instalar brazo de humo ultra biónico	installer un bras fumigène ultra bionique	安装超仿生烟臂	installare il braccio fumogeno ultra bionico	울트라 바이오닉 스모크 암 설치	instalar braço de fumaça ultra biônico	установить ультрабионическую дымовую руку	встановити ультрабіонічну димову руку	instal·lar un braç de fum ultra biònic	安装超仿生烟臂	nainstalujte ultra bionické kouřové rameno	installer ultra bionisk røgarm	installeer een ultrabionische rookarm	paigaldage ultra biooniline suitsuvars	asenna ultrabionic savuvarsi	εγκαταστήστε υπερβιονικό βραχίονα καπνού	telepítse az ultra bionikus füstkart	installer ultra bionisk røykarm	instalar braço de fumaça ultra biônico	instalați un braț de fum ultra bionic	nainštalujte ultra bionické dymové rameno	instalar brazo de humo ultra biónico	installera ultra bionisk rökarm	ultra biyonik duman kolunu takın
