Key	default	en	de	ja	pl	es	fr	zh-Hans	it	ko	pt	ru	uk	ca	zh	cs	da	nl	et	fi	el	hu	no	pt-BR	ro	sk	es-419	sv	tr
RecipeDef&KokuInstallUltraBionicWing.label	install ultra bionic wing		Ultra-Flügel installieren		Zainstaluj ultra skrzydło							Установить ультра крыло	Встановити ультра крило											Instale a ultra asa biónica					
RecipeDef&KokuInstallUltraBionicWing.description	Installs ultra bionic wing.		Installiert ein ultra Flügel.		Instaluje ultra skrzydło.							Устанавливает ультра крыло.	Встановлює ультра крило.											Instala uma ultra asa biónica.					
RecipeDef&KokuInstallUltraBionicWing.jobString	Installing ultra bionic wing.		Ultra-Flügel installieren		Instaluje ultra skrzydło							Устанавливает ультра крыло	Встановлює ультра крило											Instala uma ultra asa biónica					
RecipeDef&KokuInstallUltraBionicAntenna.label	install ultra bionic antenna		Ultra-Antenne installieren		Zainstaluj ultra antenkę							Установить ультра антенну	Встановити ультра антени											Instale a ultra antena biónica					
RecipeDef&KokuInstallUltraBionicAntenna.description	Installs ultra bionic antenna.		Installiert eine ultra Antenne.		Instaluje ultra antenkę.							Устанавливает ультра антенну.	Встановлює ультра антени.											Instala uma ultra antena biónica.					
RecipeDef&KokuInstallUltraBionicAntenna.jobString	Installing ultra bionic antenna.		Ultra-Antenne installieren		Instaluje ultra antenkę							Устанавливает ультра антенну	Встановлює ультра антени											Instala uma ultra antena biónica					
RecipeDef&KokuInstallUltraBionicAbdomen.label	install ultra bionic abdomen		Ultra-Abdomen installieren		Zainstaluj ultra odwłok							Установить ультра живот	Встановити ультра живіт											Instale o ultra abdômen biónico					
RecipeDef&KokuInstallUltraBionicAbdomen.description	Installs ultra bionic abdomen.		Installiert einen ultra Abdomen.		Instaluje ultra odwłok.							Устанавливает ультра живот.	Встановлює ультра живіт.											Instala um ultra abdômen biónico.					
RecipeDef&KokuInstallUltraBionicAbdomen.jobString	Installing ultra bionic abdomen.		Ultra-Abdomen installieren		Instaluje ultra odwłok							Устанавливает ультра живот	Встановлює ультра живіт											Instala um ultra abdômen biónico					
RecipeDef&KokuInstallUltraBionicTail.label	install ultra bionic tail		Ultra-Schwanz installieren		Zainstaluj ultra ogon							Установить ультра хвост	Встановити ультра хвіст											Instale o ultra rabo biónico					
RecipeDef&KokuInstallUltraBionicTail.description	Installs ultra bionic tail.		Installiert einen ultra Schwanz.		Instaluje ultra ogon.							Устанавливает ультра хвост.	Встановлює ультра хвіст.											Instala um ultra rabo biónico.					
RecipeDef&KokuInstallUltraBionicTail.jobString	Installing ultra bionic tail.		Ultra-Schwanz installieren		Instaluje ultra ogon							Устанавливает ультра хвост	Встановлює ультра хвіст											Instala um ultra rabo biónico					
RecipeDef&KokuInstallUltraHoneyStomach.label	install ultra honey stomach		Ultra-Honigmagen installieren		Zainstaluj ultra miodowy żołądek							Установить ультра медовый желудок	Встановити ультра медовий шлунок											Instale o ultra estômago de mel					
RecipeDef&KokuInstallUltraHoneyStomach.description	Installs an ultra honey stomach.		Installiert einen ultra Honigmagen.		Instaluje ultra miodowy żołądek.							Устанавливает ультра медовый желудок.	Встановлює ультра медовий шлунок.											Instala um ultra estômago de mel.					
ResearchTabDef&Kkokorosorgans.label	Prosthetics by Kkokoros!																												
ResearchProjectDef&KokuBasicProsthetics.label	Basic prosthetics		Grundprothesen		Podstawowe protezy							Основные протезы	Базові протези											Próteses Básicas					
ResearchProjectDef&KokuBasicProsthetics.description	Understanding the shape of a leg and combining that knowledge with basic woodworking.		Verstehe die Grundlagen eines Beins und kombiniere dein Wissen mit den Grundlagen der Holzverarbeitung.		Zrozum podstawy nogi i połącz swoją wiedze z podstawą obróbki drewna.							Понимание основ ноги и соединение ваших знаний с основами обработки дерева.	Зрозумійте основи ноги та поєднайте свої знання з основами обробки деревини.											Entenda os fundamentos da perna e combine seu conhecimento com as bases da marcenaria.					
ResearchProjectDef&KokuProsthetics.label	Simple prosthetics		Einfache Prothesen		Proste protezy							Простые протезы	Прості протези											Próteses Simples					
ResearchProjectDef&KokuProsthetics.description	Advanced anatomy studies and metal testing will allow you to build simple prostheses. Unlocks the prosthetics table.		Fortgeschrittene anatomische Studien und Materialuntersuchungen ermöglichen es dir, einfache Prothesen zu bauen. Schaltet den Prothesentisch frei.		Zaawansowane badania anatomiczne i badania metali pozwolą Ci zbudować proste protezy. Odblokowuje stół protetyczny.							Передовые анатомические исследования и исследования металлов позволят вам создать простые протезы. Открывает стол протезирования.	Розширені анатомічні дослідження та дослідження металів дозволять вам створити прості протези. Відкриває протезний стіл.											Pesquisas avançadas em anatomia e metalurgia permitirão que você construa próteses simples. Desbloqueia a mesa de próteses.					
ResearchProjectDef&KokuSimpleOrgans.label	Artificial organs		Künstliche Organe		Sztuczne organy							Искусственные органы	Штучні органи											Órgãos Artificiais					
ResearchProjectDef&KokuSimpleOrgans.description	As you gain higher medical and technical knowledge, creating a 3D printer to craft simple organs now becomes possible.		Wenn du mehr medizinisches und technisches Wissen erwirbst, wird es nun möglich, einen 3D-Drucker zur Herstellung einfacher Organe zu schaffen.		Gdy zdobywasz wyższą wiedzę medyczną i techniczną, stworzenie drukarki 3D do tworzenia prostych narządów staje się teraz możliwe.							Когда вы приобретаете более глубокие медицинские и технические знания, создание 3D-принтера для простых органов становится возможным.	Коли ви здобуваєте вищі медичні та технічні знання, створення 3D-принтера для виготовлення простих органів стає можливим.											À medida que você adquire um conhecimento médico e técnico mais avançado, a criação de uma impressora 3D para fabricar órgãos simples se torna possível.					
ResearchProjectDef&KokuHeadModifications.label	Bionic head mods		Bionische Kopfmodifikationen		Bioniczne mody głowy							Бионические модификации головы	Біонічні модифікації голови											Modificações Biónicas na Cabeça					
ResearchProjectDef&KokuHeadModifications.description	Using bionics just the way to restore missing limbs seems like such a waste. Let's use them for beauty! Unlocks bionic head modifications.		Bionik nur zur Wiederherstellung fehlender Gliedmaßen zu verwenden, scheint so verschwenderisch. Lassen Sie uns das für die Schönheit nutzen! Schaltet bionische Kopfmodifikationen frei.		Używanie bioniki tylko w celu przywrócenia brakujących kończyn wydaje się takim marnotrawstwem. Wykorzystajmy je dla urody! Odblokowuje bioniczne modyfikacje głowy.							Использовать бионику только для восстановления утраченных конечностей кажется такой расточительностью. Давайте использовать их для красоты! Открывает бионические модификации головы.	Використання біоніки тільки для відновлення відсутніх кінцівок здається таким марнуванням. Використаймо їх для краси! Відкриває біонічні модифікації голови.											Usar bionica apenas para restaurar membros perdidos parece um desperdício. Vamos usá-las para estética! Desbloqueia modificações biónicas na cabeça.					
ResearchProjectDef&KokuBionics.label	bionics		Bionische Modifikationen		Bioniczne mody							Бионические модификации	Біонічні модифікації											Bionicas					
ResearchProjectDef&KokuBionics.description	Discovering the concept of very small motors and circuits, new possibilities of better prostheses are now open for you. Unlocks new recipes at the prosthetics table.		Die Entdeckung des Konzepts sehr kleiner Motoren und Schaltkreise eröffnet dir neue Möglichkeiten für bessere Prothesen. Schaltet neue Rezepte am Prothesentisch frei.		Odkrywając koncepcję bardzo małych silników i obwodów, otwierają się dla Ciebie nowe możliwości lepszych protez. Odblokowuje nowe przepisy przy stole protetycznym.							Изучая концепцию очень маленьких двигателей и схем, перед вами открываются новые возможности для лучших протезов. Открывает новые рецепты на столе протезирования.	Відкриваючи концепцію дуже маленьких двигунів і схем, відкриваються нові можливості для покращених протезів. Відкриває нові рецепти на протезному столі.											Ao explorar o conceito de motores e circuitos muito pequenos, novas possibilidades de melhores próteses se abrem para você. Desbloqueia novas receitas na mesa de próteses.					
ResearchProjectDef&KokuBionicSpine.label	bionic spine		Bionische Wirbelsäule		Bioniczny kręgosłup							Бионический позвоночник	Біонічний хребет											Coluna Biónica					
ResearchProjectDef&KokuBionicSpine.description	The anatomy of the human spine is ridiculously complicated. You should probably research a little bit before messing with it.		Die Anatomie der menschlichen Wirbelsäule ist radikal kompliziert. Du solltest wahrscheinlich ein wenig recherchieren, bevor du damit herumspielst.		Anatomia ludzkiego kręgosłupa jest radykalnie skomplikowana. Prawdopodobnie powinieneś trochę poszukać, zanim zaczniesz się tym bawić.							Анатомия человеческого позвоночника радикально сложна. Вероятно, вам стоит немного поизучать, прежде чем вы начнете с этим работать.	Анатомія людського хребта є радикально складною. Можливо, вам слід трохи дослідити, перш ніж почати з цим працювати.											A anatomia da coluna humana é radicalmente complexa. Provavelmente, você deve pesquisar um pouco antes de começar a mexer com isso.					
ResearchProjectDef&KokuTorsoModifications.label	Bionic torso mods		Rumpfmodifikationen		Mody tłowia							Модификации торса	Модифікації тулуба											Modificações no Tórax					
ResearchProjectDef&KokuTorsoModifications.description	Discovering the concept of very small dispensers, you think about putting them in sternum or ribcage. You can now craft and install sternum implants or replace ribcage.		Bei der Entdeckung des Konzepts sehr kleiner Dosierer denkst du darüber nach, sie in den Brustkorb oder das Brustbein zu integrieren. Du kannst jetzt Brustimplantate erstellen und installieren oder den Brustkorb ersetzen.		Odkrywając koncepcję bardzo małych dozowników, myślisz o włożeniu ich do mostka lub klatki piersiowej. Możesz teraz tworzyć i instalować implanty mostka lub wymieniać klatkę piersiową.							Изучая концепцию очень маленьких дозаторов, вы думаете о том, чтобы встроить их в грудину или грудную клетку. Теперь вы можете создавать и устанавливать имплантаты в грудину или заменять грудную клетку.	Відкриваючи концепцію дуже маленьких дозаторів, ви думаєте про вбудування їх у груди чи грудну клітку. Тепер ви можете створювати та встановлювати імплантати грудної клітки або замінювати грудну клітку.											Explorando o conceito de dispensadores muito pequenos, você pensa em inseri-los no esterno ou na caixa torácica. Agora você pode criar e instalar implantes esternais ou substituir a caixa torácica.					
ResearchProjectDef&KokuSyntheticOrgans.label	synthetic organs		Synthetische Organe		Syntetyczne organy							Синтетические органы	Синтетичні органи											Órgãos Sintéticos					
ResearchProjectDef&KokuSyntheticOrgans.description	Further research in nano-technology allows you to print incredibly well-engineered artificial organs. Unlocks new recipes on the tissue printer.		Weiterführende Forschungen im Bereich der Nanotechnologie ermöglichen das Drucken von äußerst gut gestalteten künstlichen Organen. Schaltet neue Rezepte am Gewebedrucker frei.		Dalsze badania w dziedzinie nanotechnologii pozwalają drukować niezwykle dobrze zaprojektowane sztuczne narządy. Odblokowuje nowe przepisy na drukarce do tkanek.							Дальнейшие исследования в области нанотехнологий позволяют печатать невероятно хорошо спроектированные искусственные органы. Открывает новые рецепты на тканевом принтере.	Подальші дослідження в галузі нанотехнологій дозволяють друкувати надзвичайно добре спроектовані штучні органи. Відкриває нові рецепти для тканинного принтера.											Pesquisas adicionais em nanotecnologia permitem imprimir órgãos artificiais extremamente bem projetados. Desbloqueia novas receitas na impressora de tecidos.					
ResearchProjectDef&KokuBrainSurgery.label	artificial brain		Künstliches Gehirn		Sztuczny mózg							Искусственный мозг	Штучний мозок											Cérebro Artificial					
ResearchProjectDef&KokuBrainSurgery.description	Unlocks the ability to craft basic basic brain implants and install them.		Schaltet die Möglichkeit frei, grundlegende Gehirnimplantate zu erstellen und zu installieren.		Odblokowuje możliwość tworzenia i instalowania podstawowych implantów mózgowych.							Открывает возможность создания и установки основных мозговых имплантов.	Відкриває можливість створення та встановлення базових імплантів мозку.											Desbloqueia a possibilidade de criar e instalar implantes cerebrais básicos.					
ResearchProjectDef&KokuAdvancedHeadModifications.label	Advanced head mods		Fortgeschrittene Kopfmodifikationen		Zaawansowane mody głowy							Продвинутые модификации головы	Розширені модифікації голови											Modificações Avançadas na Cabeça					
ResearchProjectDef&KokuAdvancedHeadModifications.description	Using bionics just the way to restore missing limbs seems like such a waste. Let's use them for beauty! Unlocks bionic head modifications.		Bionik nur zur Wiederherstellung fehlender Gliedmaßen zu verwenden, scheint so verschwenderisch. Lassen Sie uns das für die Schönheit nutzen! Schaltet bionische Kopfmodifikationen frei.		Używanie bioniki tylko w celu przywrócenia brakujących kończyn wydaje się takim marnotrawstwem. Wykorzystajmy je dla urody! Odblokowuje bioniczne modyfikacje głowy.							Использовать бионику только для восстановления утраченных конечностей кажется такой расточительностью. Давайте использовать их для красоты! Открывает бионические модификации головы.	Використання біоніки тільки для відновлення відсутніх кінцівок здається таким марнуванням. Використаймо їх для краси! Відкриває біонічні модифікації голови.											Usar bionica apenas para restaurar membros perdidos parece um desperdício. Vamos usá-las para estética! Desbloqueia modificações biónicas na cabeça.					
ResearchProjectDef&KokuExoskeleton.label	exoskeleton		Exoskelett		Egzoszkielet							Экзоскелет	Екзоскелет											Exoesqueleto					
ResearchProjectDef&KokuExoskeleton.description	Utilise absolute cutting-edge motor technology and the knowledge of ergonomics to understand the concept of exoskeletons and replicate this with humans. Allows for the production and installation of exoskeleton suits.		Nutze die absolut modernste Motorentechnologie und das Wissen über Ergonomie, um das Konzept von Exoskeletten zu verstehen und es auf Menschen zu übertragen. Ermöglicht die Produktion und Montage von Exoskelettanzügen.		Wykorzystaj absolutnie najnowocześniejszą technologię silników i wiedzę z zakresu ergonomii, aby zrozumieć koncepcję egzoszkieletów i powielić ją na ludziach. Pozwala na produkcję i montaż kombinezonów egzoszkieletowych.							Используйте самую современную технологию двигателей и знания в области эргономики, чтобы понять концепцию экзоскелетов и воспроизвести ее у людей. Позволяет производить и устанавливать экзоскелетные костюмы.	Використовуйте абсолютно найсучасніші технології двигунів та знання з ергономіки, щоб зрозуміти концепцію екзоскелетів і відтворити їх на людях. Дозволяє виробництво та монтаж екзоскелетних костюмів.											Utilize tecnologia de motores de ponta e conhecimento em ergonomia para entender o conceito de exoesqueletos e replicá-lo em humanos. Permite a produção e montagem de trajes exoesqueléticos.					
ResearchProjectDef&KokuAdvancedBionics.label	advanced bionics		Fortgeschrittene bionische Modifikationen		Zaawansowane bioniczne mody							Продвинутые бионические модификации	Розширені біонічні модифікації											Bionicas Avançadas					
ResearchProjectDef&KokuAdvancedBionics.description	Upgrade regular bionics with advanced components to make them even better. Unlocks new recipes at the prosthetics table.		Verbessere gewöhnliche Bionik mit fortschrittlichen Komponenten, um sie noch besser zu machen. Schaltet neue Rezepte am Prothesentisch frei.		Ulepsz zwykłą bionikę za pomocą zaawansowanych komponentów, aby uczynić ją jeszcze lepszą. Odblokowuje nowe przepisy przy stole protetycznym.							Улучшите обычную бионику с помощью продвинутых компонентов, чтобы сделать ее еще лучше. Открывает новые рецепты на столе протезирования.	Поліпшіть звичайну біоніку за допомогою розширених компонентів, щоб зробити її ще кращою. Відкриває нові рецепти на протезному столі.											Melhore a bionica comum com componentes avançados para torná-la ainda melhor. Desbloqueia novas receitas na mesa de próteses.					
ResearchProjectDef&KokuAdvancedBionicSpine.label	advanced spine		Fortgeschrittene Wirbelsäule		Zaawasowany kręgosłup							Продвинутый позвоночник	Розширений хребет											Coluna Avançada					
ResearchProjectDef&KokuAdvancedBionicSpine.description	You want to cram even more complex tech into your spine? Just take some time to study the intricacies of the spinal column.		Willst du noch komplexere Technologien in deine Wirbelsäule integrieren? Nimm dir etwas Zeit, um die Komplexität der Wirbelsäule zu studieren.		Chcesz wcisnąć jeszcze bardziej złożoną technologię w swój kręgosłup? Poświęć trochę czasu na przestudiowanie zawiłości kręgosłupa.							Хотите впихнуть еще более сложные технологии в свой позвоночник? Проведите немного времени, изучая сложные моменты позвоночника.	Хочете впровадити ще більш складну технологію у свій хребет? Приділіть трохи часу на вивчення складнощів хребта.											Quer incorporar uma tecnologia ainda mais complexa em sua coluna? Dedique algum tempo para estudar as complexidades da coluna.					
ResearchProjectDef&KokuAdvancedTorsoModifications.label	Advanced torso mods		Fortgeschrittene Rumpfmodifikationen		Zaawansowane mody tłowia							Продвинутые модификации торса	Розширені модифікації тулуба											Modificações Avançadas no Tórax					
ResearchProjectDef&KokuAdvancedTorsoModifications.description	You've tasted the boost and now you want more?		Du hast die Aufladung gekostet und möchtest jetzt mehr?		Skosztowałeś doładowania, a teraz chcesz więcej?							Вы уже попробовали улучшения, а теперь хотите больше?	Ви скуштували підзарядки, а тепер хочете більше?											Você experimentou os upgrades e agora quer mais?					
ResearchProjectDef&KokuAdvancedBrainSurgery.label	advanced brain		Fortgeschrittene Gehirnoperation		Zaawansowany mózg							Продвинутый мозг	Розширений мозок											Cérebro Avançado					
ResearchProjectDef&KokuAdvancedBrainSurgery.description	Allows you to craft more advanced brain implants and perform surgery on the brain.		Ermöglicht die Erstellung fortgeschrittenerer Gehirnimplantate und die Durchführung von Gehirnoperationen.		Umożliwia tworzenie bardziej zaawansowanych implantów mózgowych i wykonywanie operacji na mózgu.							Позволяет создавать более сложные мозговые импланты и проводить операции на мозге.	Дозволяє створювати більш складні імпланти мозку та виконувати операції на мозку.											Permite criar implantes cerebrais mais avançados e realizar cirurgias no cérebro.					
ResearchProjectDef&KokuUltraHeadModifications.label	Ultra head mods		Ultra Kopfmodifikationen		Ultra mody głowy							Ультра модификации головы	Ультра модифікації голови											Ultra Modificações na Cabeça					
ResearchProjectDef&KokuUltraHeadModifications.description	Using bionics just the way to restore missing limbs seems like such a waste. Let's use them for beauty! Unlocks bionic head modifications.		Bionik nur zur Wiederherstellung fehlender Gliedmaßen zu verwenden, scheint so verschwenderisch. Lassen Sie uns das für die Schönheit nutzen! Schaltet bionische Kopfmodifikationen frei.		Używanie bioniki tylko w celu przywrócenia brakujących kończyn wydaje się takim marnotrawstwem. Wykorzystajmy je dla urody! Odblokowuje bioniczne modyfikacje głowy.							Использовать бионику только для восстановления утраченных конечностей кажется такой расточительностью. Давайте использовать их для красоты! Открывает бионические модификации головы.	Використання біоніки тільки для відновлення відсутніх кінцівок здається таким марнуванням. Використаймо їх для краси! Відкриває біонічні модифікації голови.											Usar bionica apenas para restaurar membros perdidos parece um desperdício. Vamos usá-las para estética! Desbloqueia modificações biónicas na cabeça.					
ResearchProjectDef&KokuUltraExoskeleton.label	ultra exoskeleton		Ultra Exoskelett		Ultra egzoszkielet							Ультра экзоскелет	Ультра екзоскелет											Ultra Exoesqueleto					
ResearchProjectDef&KokuUltraExoskeleton.description	Upgrade advanced bionics with ultra advanced components to make them even better. Unlocks new recipes at the prosthetics table.		Verbessere fortschrittliche Bionik mit ultra fortschrittlichen Komponenten, um sie noch besser zu machen. Schaltet neue Rezepte am Prothesentisch frei.		Ulepsz zaawansowaną bionikę za pomocą ultra zaawansowanych komponentów, aby uczynić ją jeszcze lepszą. Odblokowuje nowe przepisy przy stole protetycznym.							Улучшите продвинутую бионику с помощью ультра продвинутых компонентов, чтобы сделать ее еще лучше. Открывает новые рецепты на столе протезирования.	Поліпшіть розширену біоніку за допомогою ультра розширених компонентів, щоб зробити її ще кращою. Відкриває нові рецепти на протезному столі.											Melhore a bionica avançada com componentes ultra avançados para torná-la ainda melhor. Desbloqueia novas receitas na mesa de próteses.					
ResearchProjectDef&KokuUltraBionics.label	ultra bionics		Ultra bionische Modifikationen		Ultra bioniczne mody							Ультра бионические модификации	Ультра біонічні модифікації											Ultra Bionicas					
ResearchProjectDef&KokuUltraBionics.description	Upgrade advanced bionics with ultra advanced components to make them even better. Unlocks new recipes at the prosthetics table.		Verbessere fortschrittliche Bionik mit ultra fortschrittlichen Komponenten, um sie noch besser zu machen. Schaltet neue Rezepte am Prothesentisch frei.		Ulepsz zaawansowaną bionikę za pomocą ultra zaawansowanych komponentów, aby uczynić ją jeszcze lepszą. Odblokowuje nowe przepisy przy stole protetycznym.							Улучшите продвинутую бионику с помощью ультра продвинутых компонентов, чтобы сделать ее еще лучше. Открывает новые рецепты на столе протезирования.	Поліпшіть розширену біоніку за допомогою ультра розширених компонентів, щоб зробити її ще кращою. Відкриває нові рецепти на протезному столі.											Melhore a bionica avançada com componentes ultra avançados para torná-la ainda melhor. Desbloqueia novas receitas na mesa de próteses.					
ResearchProjectDef&KokuUltraBionicSpine.label	ultra spine		Ultra Wirbelsäule		Ultra kręgosłup							Ультра позвоночник	Ультра хребет											Ultra Coluna Biónica					
ResearchProjectDef&KokuUltraBionicSpine.description	Upgrade advanced bionics with ultra advanced components to make them even better. Unlocks new recipes at the prosthetics table.		Verbessere fortgeschrittene Bionik mit ultra fortschrittlichen Komponenten, um sie noch besser zu machen. Schaltet neue Rezepte am Prothesentisch frei.		Ulepsz zaawansowaną bionikę za pomocą ultra zaawansowanych komponentów, aby uczynić ją jeszcze lepszą. Odblokowuje nowe przepisy przy stole protetycznym.							Улучшите продвинутую бионику с помощью ультра продвинутых компонентов, чтобы сделать ее еще лучше. Открывает новые рецепты на столе протезирования.	Поліпшіть розширену біоніку за допомогою ультра розширених компонентів, щоб зробити її ще кращою. Відкриває нові рецепти на протезному столі.											Melhore a bionica avançada com componentes ultra avançados para torná-la ainda melhor. Desbloqueia novas receitas na mesa de próteses.					
ResearchProjectDef&KokuUltraTorsoModifications.label	Ultra torso mods		Ultra Rumpfmodifikationen		Ultra mody tłowia							Ультра модификации торса	Ультра модифікації тулуба											Ultra Modificações no Tórax					
ResearchProjectDef&KokuUltraTorsoModifications.description	Upgrade advanced bionics with ultra advanced components to make them even better. Unlocks new recipes at the prosthetics table.		Verbessere fortschrittliche Bionik mit ultra fortschrittlichen Komponenten, um sie noch besser zu machen. Schaltet neue Rezepte am Prothesentisch frei.		Ulepszaj zaawansowane bioniki z ultra zaawansowanymi komponentami, aby uczynić je jeszcze lepszymi. Odblokowuje nowe przepisy przy stole protetycznym.							Улучшите продвинутую бионику с помощью ультра продвинутых компонентов, чтобы сделать ее еще лучше. Открывает новые рецепты на столе протезирования.	Покращуйте розширену біоніку з ультра розширеними компонентами, щоб зробити її ще кращою. Відкриває нові рецепти на протезному столі.											Melhore a bionica avançada com componentes ultra avançados para torná-la ainda melhor. Desbloqueia novas receitas na mesa de próteses.					
ResearchProjectDef&KokuUltraOrgans.label	ultra organs		Ultra Organe		Ultra organy							Ультра органы	Ультра органи											Ultra Órgãos					
ResearchProjectDef&KokuUltraOrgans.description	Upgrade advanced bionics with ultra advanced components to make them even better. Unlocks new recipes at the prosthetics table.		Verbessere fortschrittliche Bionik mit ultra fortschrittlichen Komponenten, um sie noch besser zu machen. Schaltet neue Rezepte am Prothesentisch frei.		Ulepsz zaawansowaną bionikę za pomocą ultra zaawansowanych komponentów, aby uczynić ją jeszcze lepszą. Odblokowuje nowe przepisy przy stole protetycznym.							Улучшите продвинутую бионику с помощью ультра продвинутых компонентов, чтобы сделать ее еще лучше. Открывает новые рецепты на столе протезирования.	Поліпшіть розширену біоніку за допомогою ультра розширених компонентів, щоб зробити її ще кращою. Відкриває нові рецепти на протезному столі.											Melhore a bionica avançada com componentes ultra avançados para torná-la ainda melhor. Desbloqueia novas receitas na mesa de próteses.					
ResearchProjectDef&KokuUltraBrainSurgery.label	ultra brain		Ultra Gehirn		Ultra mózg							Ультра мозг	Ультра мозок											Ultra Cérebro					
ResearchProjectDef&KokuUltraBrainSurgery.description	Upgrade advanced bionics with ultra advanced components to make them even better. Unlocks new recipes at the prosthetics table.		Verbessere fortschrittliche Bionik mit ultra fortschrittlichen Komponenten, um sie noch besser zu machen. Schaltet neue Rezepte am Prothesentisch frei.		Ulepsz zaawansowaną bionikę za pomocą ultra zaawansowanych komponentów, aby uczynić ją jeszcze lepszą. Odblokowuje nowe przepisy przy stole protetycznym.							Улучшите продвинутую бионику с помощью ультра продвинутых компонентов, чтобы сделать ее еще лучше. Открывает новые рецепты на столе протезирования.	Поліпшіть розширену біоніку за допомогою ультра розширених компонентів, щоб зробити її ще кращою. Відкриває нові рецепти на протезному столі.											Melhore a bionica avançada com componentes ultra avançados para torná-la ainda melhor. Desbloqueia novas receitas na mesa de próteses.					
ThingCategoryDef&KokuTierKits.label	Koku Tier kits																												
ThingCategoryDef&KokuBodyPartsBasic.label	Koku Basic		Koku Grundlegend		Koku Podstawowe							Koku Основные	Koku Базові											Koku Básico					
ThingCategoryDef&KokuBodyPartsSimple.label	Koku Simple		Koku Einfach		Koku Proste							Koku Простые	Koku Прості											Koku Simples					
ThingCategoryDef&KokuBodyPartsBionic.label	Koku Bionic		Koku Bionisch		Koku Bioniczne							Koku Бионические	Koku Біонічні											Koku Biónico					
ThingCategoryDef&KokuBodyPartsAdvanced.label	Koku Advanced		Koku Fortgeschritten		Koku Zaawansowane							Koku Продвинутые	Koku Розширені											Koku Avançado					
ThingCategoryDef&KokuBodyPartsUltra.label	Koku Ultra		Koku Ultra		Koku Ultra							Koku Ультра	Koku Ультра											Koku Ultra					
ThingDef&KokuPrinterOrgans.label	organs printer																												
ThingDef&KokuPrinterOrgans.description	A workstation, equipped with a 3D printer to craft organs.																												
ThingDef&KokuPrinterProsthetics.label	prosthetics printer																												
ThingDef&KokuPrinterProsthetics.description	A workbench equipped for production of all kinds of prosthetics.																												
ThingDef&KokuUnfinishedOrgansOrBionics.label	Unfinished organ or bionic		Unvollendetes Organ oder Prothese		Nie dokończony organ lub proteza							Незавершенный орган или протез	Недозавершений орган або протеза											Órgão ou prótese não finalizado					
ThingDef&KokuUnfinishedTierkit.label	Unfinished Tier kit																												
ThingDef&KokuTier1kit.label	Tier 1 kit		Tier 1 Set		Zestaw poziomu 1							Комплект уровня 1	Комплект рівня 1											Kit de nível 1					
ThingDef&KokuTier1kit.description	Tier 1 kit with tools used in creating bionics. \nIs equipped with simple tools and some plasteel.		Tier 1 Set mit Werkzeugen, die bei der Erstellung von Bionik verwendet werden. \nEs ist mit einfachen Werkzeugen und etwas Superstahl ausgestattet.		Zestaw poziomu 1 z narzędziami używanymi w tworzeniu bioniki. \nJest wyposażony w proste narzędzia i trochę superstali.							Комплект уровня 1 с инструментами, используемыми для создания бионики. \nОснащен простыми инструментами и немного суперстали.	Комплект рівня 1 з інструментами, що використовуються для створення біоніки. \nОснащений простими інструментами та трохи суперсталі.											Kit de nível 1 com ferramentas usadas na criação de biónica. \nEquipado com ferramentas simples e um pouco de super aço.					
ThingDef&KokuTier2kit.label	Tier 2 kit		Tier 2 Set		Zestaw poziomu 2							Комплект уровня 2	Комплект рівня 2											Kit de nível 2					
ThingDef&KokuTier2kit.description	Tier 2 kit with tools used in creating bionics.\nIs equipped with advanced tools and some plasteel, silver and components.		Tier 2 Set mit Werkzeugen, die bei der Erstellung von Bionik verwendet werden.\nEs ist mit fortschrittlichen Werkzeugen sowie etwas Superstahl, Silber und Komponenten ausgestattet.		Zestaw poziomu 2 z narzędziami używanymi w tworzeniu bioniki.\nJest wyposażony w zaawansowane narzędzia oraz trochę superstali, srebra i komponentów.							Комплект уровня 2 с инструментами, используемыми для создания бионики. \nОснащен современными инструментами и немного суперстали, серебра и компонентов.	Комплект рівня 2 з інструментами, що використовуються для створення біоніки.\nОснащений передовими інструментами, а також трохи суперсталі, срібла та компонентів.											Kit de nível 2 com ferramentas usadas na criação de biónica. \nEquipado com ferramentas avançadas, além de um pouco de super aço, prata e componentes.					
ThingDef&KokuTier3kit.label	Tier 3 kit		Tier 3 Set		Zestaw poziomu 3							Комплект уровня 3	Комплект рівня 3											Kit de nível 3					
ThingDef&KokuTier3kit.description	Tier 3 kit with tools used in creating bionics. \nIs equipped with advanced tools and some plasteel, silver, uranium and advanced components.		Tier 3 Set mit Werkzeugen, die bei der Erstellung von Bionik verwendet werden. \nEs ist mit fortschrittlichen Werkzeugen sowie etwas Superstahl, Silber, Uran und fortgeschrittenen Komponenten ausgestattet.		Zestaw poziomu 3 z narzędziami używanymi w tworzeniu bioniki. \nJest wyposażony w zaawansowane narzędzia oraz trochę superstali, srebra, uranu i zaawansowanych komponentów.							Комплект уровня 3 с инструментами, используемыми для создания бионики. \nОснащен современными инструментами и немного суперстали, серебра, урана и продвинутых компонентов.	Комплект рівня 3 з інструментами, що використовуються для створення біоніки. \nОснащений передовими інструментами, а також трохи суперсталі, срібла, урану та розширених компонентів.											Kit de nível 3 com ferramentas usadas na criação de biónica. \nEquipado com ferramentas avançadas, além de um pouco de super aço, prata, urânio e componentes avançados.					
